power_point_01,0.075826,0.71739,122.1744,504.1227,10883.6884,0.53252,0.453,B min,-0.025942,6,ごとんととん,コンセント,undefined
pulling_01,0.20052,0.47222,181.1985,505.8795,704.5898,0.078594,0.47388,A# min,-0.024341,3,ぶーん,椅子,ひく
punch_01,0.19072,0.57143,unundefinedd,1133.2008,8291.0156,0.74364,0.41323,A maj,0.14177,7,ぱん,パンチ,殴る
putting_03,0.082977,0.75,undefined,462.0986,9994.6289,0.44477,0.41913,A maj,0.009295,7,ごとっ,カバン,置く
putting_04,0.112,0.76923,undefined,723.876,6550.7812,0.37654,0.48548,D maj,0.01786,7,どん,カバン,置く
putting_06,0.035737,0.6,undefined,1348.4108,6660.6445,0.68068,0.49013,G# maj,0.015551,7,かたっ,鉛筆,置く
putting_09,0.054584,0.63636,undefined,11321.2135,15544.281,0.98243,0.50762,A# maj,0.11971,4,かちゃ,金属,置く
putting_11,0.03319,0.76,undefined,1523.9529,3269.5312,0.40683,0.41371,G min,-0.047858,6,こっ,コップ,置く
putting_15,0.0512,0.66667,undefined,1274.6074,6083.1299,0.77346,0.48086,G min,-0.15011,9,かちゃ,フライパン,置く
rain_01,0.092885,0.5863,106.5928,5410.3716,9974.0788,0.86299,0.49743,F# maj,0.067036,5,ざー,雨,undefined
reciever_01,0.045585,0.63158,undefined,3411.0051,13302.2461,0.76453,0.47698,A# min,-0.16034,9,がちゃ,受話器,undefined
roll_02,0.021387,0.67123,151.8783,1465.1645,6659.9121,0.77471,0.47832,F maj,0.034757,6,ころころ,鉛筆,転がる
roll_04,0.039674,0.73333,118.0783,2003.1326,9316.04,0.86853,0.47045,B min,-0.052305,9,かんかららん,缶,転がる
scissors_01,0.047396,0.83333,undefined,4200.1829,14151.8555,0.96543,0.47985,D min,-0.0036287,9,しゃきん,ハサミ,切る
sello_tape_01,0.025818,0.68354,178.7973,3700.5319,13872.0703,0.92136,0.47998,G maj,0.020169,8,っぎりりりりぃっかちゃん,セロテープ,undefined
shaking_01,0.054874,0.63158,132.5735,3743.7768,8876.2207,0.81337,0.47154,F min,-0.11427,9,かしゃかしゃ,薬,振る
spray_01,0.052082,0.53846,undefined,5172.7358,14475.6958,0.9589,0.49925,G maj,0.065625,5,しゃっ,スプレー,undefined
spray_02,0.046294,0.51852,undefined,5157.213,14538.9496,0.94616,0.4961,G# min,-0.039665,5,さっさっ,スプレー,undefined
staple_01,0.031404,0.66667,undefined,4462.4295,14611.8164,0.83049,0.48898,C# min,-0.08964,9,たんたん,ホッチキス,undefined
